index,year,state,commodity_name,refed_food_department,refed_food_category,acres_planted,acres_harvested,us_dollars_harvested,tons_harvested,percent_maturity,acres_unharvested,yield_tons_per_acre,price_per_ton,tons_never_harvested,tons_never_harvested_not_marketable,tons_never_harvested_inedible,tons_never_harvested_bad_weather,tons_never_harvested_pests_disease,tons_never_harvested_market_dynamics,tons_never_harvested_other
2306,2016,california,celery,produce,celery,31700.0,31200.0,303355000.0,826800.0,0.5,500.0,26.5,366.9,6625.0,1855.0,1855.0,278.2,4.2,0.9,2631.7
2307,2016,michigan,celery,produce,celery,2000.0,1900.0,15966000.0,57000.0,0.5,100.0,30.0,280.1,1500.0,420.0,420.0,63.0,0.9,0.2,595.9
2308,2016,california,cherries,produce,cherries,33000.0,33000.0,184490000.0,55000.0,0.5,0.0,1.7,3354.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2309,2016,michigan,cherries,produce,cherries,33700.0,33700.0,71975000.0,136110.0,0.5,0.0,4.0,528.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2310,2016,new york,cherries,produce,cherries,1600.0,1600.0,2400000.0,3950.0,0.5,0.0,2.5,607.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2311,2016,oregon,cherries,produce,cherries,13000.0,13000.0,79235000.0,62080.0,0.5,0.0,4.8,1276.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2312,2016,utah,cherries,produce,cherries,3300.0,3300.0,17533000.0,26400.0,0.5,0.0,8.0,664.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2313,2016,washington,cherries,produce,cherries,41300.0,41300.0,500647000.0,224550.0,0.5,0.0,5.4,2229.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2314,2016,wisconsin,cherries,produce,cherries,1700.0,1700.0,4076000.0,6800.0,0.5,0.0,4.0,599.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2315,2016,arizona,chili peppers,produce,chili peppers,1600.0,1600.0,4439000.0,6080.0,0.5,0.0,3.8,730.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2316,2016,california,chili peppers,produce,chili peppers,5700.0,5600.0,82921000.0,127400.0,0.5,100.0,22.8,650.9,1140.0,319.2,319.2,47.9,0.7,0.1,452.9
2317,2016,new mexico,chili peppers,produce,chili peppers,9200.0,8700.0,51028000.0,69600.0,0.5,500.0,8.0,733.2,2000.0,560.0,560.0,84.0,1.3,0.3,794.5
2318,2016,texas,chili peppers,produce,chili peppers,2600.0,2300.0,6576000.0,5750.0,0.5,300.0,2.5,1143.7,375.0,105.0,105.0,15.8,0.2,0.0,149.0
2319,2016,massachusetts,cranberries,produce,cranberries,12900.0,12900.0,68911000.0,113400.0,0.5,0.0,8.8,607.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2320,2016,new jersey,cranberries,produce,cranberries,3100.0,3100.0,27835000.0,32650.0,0.5,0.0,10.5,852.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2321,2016,oregon,cranberries,produce,cranberries,2800.0,2800.0,10457000.0,20050.0,0.5,0.0,7.2,521.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2322,2016,washington,cranberries,produce,cranberries,1600.0,1600.0,7742000.0,8770.0,0.5,0.0,5.5,882.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2323,2016,wisconsin,cranberries,produce,cranberries,21100.0,21100.0,177347000.0,306500.0,0.5,0.0,14.5,578.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2324,2016,alabama,cucumbers,produce,cucumbers,3600.0,3500.0,4442000.0,16450.0,0.5,100.0,4.7,270.0,235.0,65.8,65.8,9.9,0.1,0.0,93.4
2325,2016,california,cucumbers,produce,cucumbers,8400.0,8400.0,34289000.0,75600.0,0.5,0.0,9.0,453.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2326,2016,delaware,cucumbers,produce,cucumbers,2700.0,2600.0,3620000.0,11570.0,0.5,100.0,4.4,312.9,220.0,61.6,61.6,9.2,0.1,0.0,87.4
2327,2016,florida,cucumbers,produce,cucumbers,24300.0,21700.0,118167000.0,195300.0,0.5,2600.0,9.0,605.1,11700.0,3276.0,3276.0,491.4,7.4,1.5,4647.7
2328,2016,georgia,cucumbers,produce,cucumbers,8900.0,8200.0,41924000.0,96350.0,0.5,700.0,11.8,435.1,4130.0,1156.4,1156.4,173.5,2.6,0.5,1640.6
2329,2016,michigan,cucumbers,produce,cucumbers,41000.0,40400.0,69146000.0,272700.0,0.5,600.0,6.8,253.6,2040.0,571.2,571.2,85.7,1.3,0.3,810.4
2330,2016,new jersey,cucumbers,produce,cucumbers,3200.0,3100.0,13645000.0,27125.0,0.5,100.0,8.8,503.0,440.0,123.2,123.2,18.5,0.3,0.1,174.8
2331,2016,north carolina,cucumbers,produce,cucumbers,11000.0,10800.0,28913000.0,75600.0,0.5,200.0,7.0,382.4,700.0,196.0,196.0,29.4,0.4,0.1,278.1
2332,2016,ohio,cucumbers,produce,cucumbers,2100.0,2100.0,4823000.0,12600.0,0.5,0.0,6.0,382.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2333,2016,south carolina,cucumbers,produce,cucumbers,1400.0,1300.0,4842000.0,10400.0,0.5,100.0,8.0,465.6,400.0,112.0,112.0,16.8,0.3,0.1,158.9
2334,2016,texas,cucumbers,produce,cucumbers,6700.0,6400.0,12136000.0,33600.0,0.5,300.0,5.2,361.2,780.0,218.4,218.4,32.8,0.5,0.1,309.8
2335,2016,wisconsin,cucumbers,produce,cucumbers,6300.0,6200.0,9210000.0,38750.0,0.5,100.0,6.2,237.7,310.0,86.8,86.8,13.0,0.2,0.0,123.1
2336,2016,california,figs,produce,figs,6500.0,6500.0,29779000.0,32700.0,0.5,0.0,5.0,910.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
