index,year,state,commodity_name,refed_food_department,refed_food_category,acres_planted,acres_harvested,us_dollars_harvested,tons_harvested,percent_maturity
3026,2018,,,,,15000.0,15000.0,92570000.0,107500.0,0.5
3027,2018,,,,,500.0,500.0,4802000.0,7000.0,0.5
3028,2018,,,,,5200.0,4800.0,24499000.0,52800.0,0.5
3029,2018,,,,,38500.0,38300.0,221508000.0,772850.0,0.5
3030,2018,,,,,21000.0,21000.0,183372000.0,388500.0,0.5
3031,2018,,,,,55300.0,55000.0,216786000.0,1086100.0,0.5
3032,2018,,,,,6500.0,5800.0,38895000.0,40600.0,0.5
3033,2018,,,,,22000.0,20800.0,89846000.0,275600.0,0.5
3034,2018,,,,,315000.0,315000.0,1027688000.0,7087500.0,0.5
3035,2018,,,,,7700.0,7600.0,25679000.0,142500.0,0.5
3036,2018,,,,,3300.0,3300.0,13395000.0,70950.0,0.5
3037,2018,,,,,8500.0,8300.0,44000000.0,110000.0,0.5
3038,2018,,,,,49000.0,48500.0,166889000.0,751750.0,0.5
3039,2018,,,,,2200.0,2000.0,5967000.0,25500.0,0.5
3040,2018,,,,,50000.0,48000.0,191520000.0,912000.0,0.5
3041,2018,,,,,44000.0,43500.0,180316000.0,935250.0,0.5
3042,2018,,,,,27000.0,26000.0,81900000.0,227500.0,0.5
3043,2018,,,,,7800.0,7400.0,18981000.0,83250.0,0.5
3044,2018,,,,,11100.0,11100.0,50117000.0,194250.0,0.5
3045,2018,,,,,19500.0,19300.0,100978000.0,463200.0,0.5
3046,2018,,,,,2000.0,2000.0,4722000.0,26500.0,0.5
3047,2018,,,,,14300.0,13400.0,47409000.0,194300.0,0.5
3048,2018,,,,,82000.0,78500.0,261562000.0,549500.0,0.5
3049,2018,,,,,13000.0,12200.0,28511000.0,115900.0,0.5
3050,2018,,,,,74500.0,73000.0,226099000.0,1186250.0,0.5
3051,2018,,,,,45000.0,45000.0,201690000.0,1350000.0,0.5
3052,2018,,,,,18000.0,17500.0,93719000.0,371900.0,0.5
3053,2018,,,,,4800.0,4400.0,16544000.0,51700.0,0.5
3054,2018,,,,,160000.0,160000.0,788256000.0,5040000.0,0.5
3055,2018,,,,,69000.0,67000.0,284918000.0,1356750.0,0.5
3056,2018,,,,,5000.0,4900.0,27592000.0,67375.0,0.5
3057,2018,,,,,12000.0,11000.0,13751000.0,258500.0,0.5
3058,2018,,,,,5800.0,5500.0,16971000.0,63250.0,0.5
3059,2018,,,,,5700.0,5400.0,14947000.0,51300.0,0.5
3060,2018,,,,,1700.0,1400.0,12369000.0,21350.0,0.5
3061,2018,,,,,2100.0,1700.0,4178000.0,5525.0,0.5
3062,2018,,,,,6600.0,5700.0,8037000.0,23370.0,0.5
3063,2018,,,,,2900.0,2300.0,6609000.0,12650.0,0.5
3064,2018,,,,,4000.0,3700.0,11024000.0,33300.0,0.5
3065,2018,,,,,2600.0,2500.0,9781000.0,33750.0,0.5
3066,2018,,,,,7300.0,5700.0,13852000.0,32775.0,0.5
3067,2018,,,,,1700.0,1600.0,2264000.0,5840.0,0.5
3068,2018,,,,,5400.0,4900.0,24069000.0,80850.0,0.5
3069,2018,,,,,5800.0,5200.0,15366000.0,53300.0,0.5
3070,2018,,,,,2800.0,2400.0,11844000.0,15000.0,0.5
3071,2018,,,,,4100.0,3700.0,2791000.0,12210.0,0.5
3072,2018,,,,,7400.0,7400.0,331088000.0,71500.0,0.5
3073,2018,,,,,9500.0,9500.0,35913000.0,37900.0,0.5
3074,2018,,,,,11400.0,11100.0,83783000.0,94350.0,0.5
3075,2018,,,,,44900.0,44200.0,316699000.0,276250.0,0.5
3076,2018,,,,,2200.0,2000.0,5230000.0,11500.0,0.5
3077,2018,,,,,3000.0,2800.0,6138000.0,16100.0,0.5
3078,2018,,,,,6900.0,6700.0,30973000.0,51925.0,0.5
3079,2018,,,,,9000.0,8700.0,37072000.0,95700.0,0.5
3080,2018,,,,,4100.0,3500.0,8387000.0,16275.0,0.5
3081,2018,,,,,5200.0,4900.0,24174000.0,40425.0,0.5
3082,2018,,,,,3800.0,3500.0,18306000.0,30625.0,0.5
3083,2018,,,,,4300.0,4300.0,13194000.0,66650.0,0.5
3084,2018,,,,,1900.0,1500.0,3481000.0,4425.0,0.5
3085,2018,,,,,35300.0,35300.0,2086077000.0,1164900.0,0.5
3086,2018,,,,,9800.0,9800.0,281750000.0,122500.0,0.5
3087,2018,,,,,700.0,700.0,6229000.0,1540.0,0.5
3088,2018,,,,,1000.0,1000.0,21375000.0,6250.0,0.5
3089,2018,,,,,1100.0,1100.0,11687000.0,5500.0,0.5
3090,2018,,,,,820.0,820.0,9167000.0,4305.0,0.5
3091,2018,,,,,34000.0,33800.0,175828000.0,304200.0,0.5
3092,2018,,,,,11400.0,11200.0,16633000.0,75600.0,0.5
3093,2018,,,,,42000.0,39700.0,142920000.0,238200.0,0.5
3094,2018,,,,,30000.0,29000.0,111684000.0,217500.0,0.5
3095,2018,,,,,4100.0,3900.0,12163000.0,17550.0,0.5
3096,2018,,,,,15000.0,14600.0,13763000.0,91250.0,0.5
3097,2018,,,,,4500.0,4100.0,8959000.0,19475.0,0.5
3098,2018,,,,,8300.0,8100.0,13994000.0,48600.0,0.5
3099,2018,,,,,9700.0,9100.0,19256000.0,41860.0,0.5
3100,2018,,,,,114400.0,110600.0,81899000.0,774200.0,0.5
3101,2018,,,,,6500.0,6400.0,13868000.0,27840.0,0.5
3102,2018,,,,,30600.0,26600.0,36257000.0,139650.0,0.5
3103,2018,,,,,9800.0,9100.0,23342000.0,43225.0,0.5
3104,2018,,,,,29000.0,28900.0,44492000.0,296225.0,0.5
3105,2018,,,,,13000.0,10600.0,24745000.0,30210.0,0.5
3106,2018,,,,,74000.0,72000.0,84080000.0,828000.0,0.5
3107,2018,,,,,59300.0,56400.0,40181000.0,479400.0,0.5
3108,2018,,,,,62000.0,62000.0,556024000.0,768000.0,0.5
3109,2018,,,,,9300.0,9300.0,19952000.0,36000.0,0.5
3110,2018,,,,,266000.0,260600.0,1197642000.0,12769400.0,0.5
3111,2018,,,,,29000.0,27000.0,344131000.0,378000.0,0.5
3112,2018,,,,,7800.0,7600.0,31530000.0,247000.0,0.5
3113,2018,,,,,5200.0,5000.0,35352000.0,137500.0,0.5
3114,2018,,,,,4200.0,4100.0,42411000.0,47150.0,0.5
3115,2018,,,,,3500.0,3000.0,33845000.0,43500.0,0.5
3116,2018,,,,,5500.0,5400.0,52173000.0,140400.0,0.5
3117,2018,,,,,3300.0,3200.0,44881000.0,57600.0,0.5
3118,2018,,,,,4200.0,4000.0,54176000.0,62000.0,0.5
3119,2018,,,,,2100.0,2000.0,27774000.0,21000.0,0.5
3120,2018,,,,,12000.0,11900.0,116369000.0,321300.0,0.5
3121,2018,,,,,3900.0,3800.0,11286000.0,51300.0,0.5
3122,2018,,,,,22600.0,22500.0,160866000.0,405000.0,0.5
3123,2018,,,,,23000.0,20600.0,76438000.0,267800.0,0.5
3124,2018,,,,,6600.0,6500.0,27915000.0,152750.0,0.5
3125,2018,,,,,3700.0,3500.0,10395000.0,52500.0,0.5
3126,2018,,,,,7700.0,7300.0,22314000.0,91250.0,0.5
3127,2018,,,,,4500.0,4300.0,17174000.0,49450.0,0.5
3128,2018,,,,,24000.0,23000.0,143387000.0,391000.0,0.5
3129,2019,,,,,160000.0,158000.0,97921000.0,264650.0,0.5
3130,2019,,,,,19000.0,19000.0,68229000.0,18050.0,0.5
3131,2019,,,,,34000.0,33000.0,33977000.0,85800.0,0.5
3132,2019,,,,,1180000.0,1180000.0,6094440000.0,1275000.0,0.5
3133,2019,,,,,365000.0,365000.0,1286410000.0,653000.0,0.5
3134,2019,,,,,289000.0,289000.0,1938800000.0,370000.0,0.5
3135,2019,,,,,165000.0,155000.0,118978000.0,294500.0,0.5
3136,2019,,,,,129000.0,129000.0,137240000.0,36500.0,0.5
3137,2019,,,,,670000.0,660000.0,532224000.0,1386000.0,0.5
3138,2019,,,,,16900.0,16900.0,48840000.0,20350.0,0.5
3139,2019,,,,,20000.0,19000.0,14136000.0,38000.0,0.5
3140,2019,,,,,45000.0,45000.0,165064000.0,43900.0,0.5
3141,2019,,,,,4700.0,4700.0,4255000.0,7543.5,0.5
3142,2019,,,,,104000.0,102000.0,98945000.0,221850.0,0.5
3143,2019,,,,,90000.0,90000.0,26966000.0,10600.0,0.5
3144,2019,,,,,15000.0,14000.0,13489000.0,28700.0,0.5
3145,2019,,,,,50000.0,50000.0,84480000.0,49000.0,0.5
3146,2019,,,,,65000.0,62000.0,46649000.0,117800.0,0.5
3147,2019,,,,,112000.0,112000.0,73500000.0,18750.0,0.5
3148,2019,,,,,165000.0,160000.0,144832000.0,248000.0,0.5
3149,2019,,,,,25000.0,24000.0,24178000.0,55200.0,0.5
3150,2019,,,,,37500.0,37500.0,130218000.0,167500.0,0.5
3151,2019,,,,,12700.0,12700.0,72911000.0,152500.0,0.5
3152,2019,,,,,31000.0,31000.0,258604000.0,473000.0,0.5
3153,2019,,,,,44000.0,44000.0,276199000.0,660000.0,0.5
3154,2019,,,,,5000.0,5000.0,38746000.0,75000.0,0.5
3155,2019,,,,,19500.0,19500.0,106299000.0,253500.0,0.5
3156,2019,,,,,9500.0,9500.0,34566000.0,95000.0,0.5
3157,2019,,,,,172000.0,172000.0,1958900000.0,3800000.0,0.5
3158,2019,,,,,8600.0,8600.0,40444000.0,43900.0,0.5
3159,2019,,,,,1000.0,1000.0,10948000.0,7400.0,0.5
3160,2019,,,,,7200.0,7200.0,78624000.0,50400.0,0.5
3161,2019,,,,,5300.0,5200.0,36764000.0,9100.0,0.5
3162,2019,,,,,10000.0,9400.0,25607000.0,14100.0,0.5
3163,2019,,,,,2100.0,2000.0,16302000.0,3200.0,0.5
3164,2019,,,,,4500.0,4100.0,21242000.0,11275.0,0.5
3165,2019,,,,,46100.0,46100.0,374960000.0,109000.0,0.5
3166,2019,,,,,6000.0,6000.0,23813400.0,25800.0,0.5
3167,2019,,,,,820.0,820.0,2009000.0,820.0,0.5
3168,2019,,,,,15100.0,15000.0,181400000.0,270000.0,0.5
3169,2019,,,,,12200.0,11800.0,234968000.0,174050.0,0.5
3170,2019,,,,,3700.0,3600.0,54467000.0,55800.0,0.5
3171,2019,,,,,2200.0,2100.0,19674000.0,26775.0,0.5
3172,2019,,,,,3600.0,3500.0,45854000.0,52500.0,0.5
